"Generation","Fitness","Vision","Collision Distance","Min Separation","Max Align Turn","Max Cohere Turn","Max Separate Turn","Move Distance","Tracking Range","Default Turn"
"Generation","Fitness","Vision","Collision Distance","Min Separation","Max Align Turn","Max Cohere Turn","Max Separate Turn","Move Distance","Tracking Range","Default Turn"
6,3.0087777777777776,2,3,7,14,2,20,4,15,1
6,2.3258888888888887,0,7,7,14,10,12,0,10,0
6,0.125,2,0,7,6,13,8,3,15,1
6,0.05,10,3,7,14,2,20,4,8,1
6,3.3637777777777775,4,3,1,14,1,20,4,15,1
6,0.775,8,4,7,9,1,19,4,15,1
6,0.35000000000000003,2,0,1,9,5,16,4,12,1
6,0.1,5,5,3,10,1,24,4,11,1
6,1.55,7,4,4,13,2,23,4,12,1
6,0.6499999999999999,9,4,7,9,5,20,4,15,1
6,3.2243333333333335,13,4,7,14,2,20,4,15,1
6,0,14,3,7,14,5,19,4,0,1
6,0,2,7,7,14,2,27,4,0,1
6,2.970777777777778,2,3,7,13,1,20,3,12,1
6,2.9365555555555556,13,4,7,13,2,19,4,15,1
6,2.819,8,1,4,13,2,12,0,12,1
6,3.539888888888889,4,7,6,14,2,20,4,15,1
6,2.966222222222222,5,3,7,14,2,16,3,15,1
6,3.3634444444444442,13,4,7,13,2,20,4,15,1
6,0.1,4,7,1,14,2,11,4,8,1
6,0,2,3,4,14,13,11,4,0,1
7,0,13,3,7,6,2,20,4,8,1
7,3.040666666666667,5,7,4,14,5,12,3,15,1
7,0.7749999999999999,5,3,7,9,14,20,3,15,1
7,0,13,4,0,2,2,11,4,15,1
7,3.0609999999999995,4,0,1,14,1,23,7,15,1
7,0,2,3,7,14,5,23,4,0,1
7,0.2,4,0,5,14,1,7,7,12,1
7,2.9506666666666668,2,3,7,14,2,11,4,15,1
7,3.4877777777777776,2,0,2,14,10,16,7,15,1
7,0.65,11,0,6,9,1,23,4,15,1
7,3.3245555555555555,2,3,6,14,1,23,7,15,1
7,3.3951111111111114,7,3,7,14,2,20,4,15,1
7,0,2,0,7,2,6,20,3,12,1
7,0.625,5,3,7,10,2,20,4,15,1
7,0,5,3,7,1,10,20,4,8,1
7,3.2644444444444445,2,3,4,14,5,20,3,15,1
7,0,11,0,6,1,6,20,3,7,1
7,2.6934444444444443,13,4,7,13,2,20,3,15,1
7,0,14,4,7,2,2,20,3,15,1
7,2.965,2,3,3,14,5,11,4,12,1
7,2.8257777777777777,11,0,6,14,14,23,7,15,1
7,0,0,7,2,2,5,27,7,8,1
7,3.190333333333334,13,3,4,14,14,23,7,15,1
7,0.875,4,3,2,9,1,19,4,15,1
7,0,13,4,0,13,2,11,4,0,1
7,3.315555555555556,15,4,7,14,6,19,4,15,1
7,0.125,11,3,6,9,2,4,4,15,1
7,2.956888888888889,13,4,4,13,5,24,0,15,1
7,2.9952222222222225,3,7,7,14,6,19,4,15,1
7,2.9354444444444443,0,4,7,14,6,19,4,15,1
7,0.25,2,3,7,13,5,20,4,11,1
7,0,13,3,7,13,14,20,3,3,1
7,0.05,2,2,0,14,2,23,4,8,1
7,3.284888888888889,0,4,7,14,6,20,7,15,1
7,0,2,3,7,2,1,20,4,15,1
7,2.888333333333333,0,3,1,14,1,20,3,12,1
7,2.7221111111111114,5,3,7,14,13,27,4,12,1
7,2.878,7,3,2,14,6,8,7,15,1
7,1.9000000000000004,11,0,6,14,14,20,0,15,1
7,2.9064444444444444,2,0,7,14,2,23,4,15,1
7,3.0011111111111113,3,0,5,14,6,19,4,15,1
7,0,0,3,7,13,14,28,3,0,1
7,2.634,4,7,6,14,2,20,4,15,1
7,0.05,5,3,7,14,13,20,3,8,1
7,1.525,13,0,7,13,2,19,4,12,1
7,0,4,7,6,1,5,20,4,15,1
7,2.617888888888889,4,3,2,14,1,23,7,15,1
7,3.1862222222222223,11,4,5,14,1,20,7,15,1
7,0,13,7,7,10,1,20,4,8,1
7,3.4637777777777776,4,3,1,14,1,20,4,15,1
8,0,0,4,7,14,9,20,7,0,1
8,2.688,3,7,7,14,6,28,4,15,1
8,2.7117777777777783,13,4,7,13,5,19,3,15,1
8,0,8,4,7,1,5,20,4,15,1
8,2.8546666666666667,8,3,2,14,6,19,4,15,1
8,3.235333333333333,4,0,5,14,1,20,7,15,1
8,3.1260000000000003,5,3,3,14,2,20,4,15,1
8,2.4334444444444445,8,3,7,14,6,4,4,12,1
8,0,15,4,7,14,9,16,4,0,1
8,2.9154444444444447,7,3,7,14,13,20,4,15,1
8,3.5293333333333337,2,3,6,14,5,20,3,15,1
8,0,5,3,7,1,6,8,7,11,1
8,3.447111111111111,2,3,4,14,9,24,7,15,1
8,2.392,13,4,7,10,2,20,3,15,1
8,3.2060000000000004,4,3,3,14,5,12,3,15,1
8,3.546888888888889,5,4,1,14,2,20,7,15,1
8,0,2,3,1,1,1,20,3,15,1
8,3.001444444444444,2,3,4,14,6,23,7,15,1
8,2.767555555555556,13,3,2,14,1,23,7,15,1
8,0,13,3,6,14,10,16,7,0,1
8,2.843666666666667,2,0,2,14,10,27,7,15,1
8,0,0,7,7,1,6,8,7,15,1
8,2.896333333333333,0,4,7,14,6,23,0,15,1
8,3.1057777777777775,7,3,7,14,6,20,4,15,1
8,0.8999999999999999,2,3,2,14,2,20,4,11,1
8,2.4235555555555557,10,3,7,10,10,19,0,15,1
8,2.35,5,3,7,14,13,27,4,12,1
8,0.7,5,0,2,14,10,0,7,15,1
8,3.1354444444444445,2,4,5,14,14,23,7,15,1
8,0.44999999999999996,10,4,4,9,1,23,7,15,1
8,2.655111111111111,2,3,0,14,2,11,7,15,1
8,3.428444444444444,2,4,6,14,9,16,4,12,1
8,2.919333333333334,15,4,7,14,1,19,4,15,1
8,0.6749999999999999,4,3,6,9,1,20,4,15,1
8,3.6592222222222217,2,0,2,13,13,16,4,15,1
8,0,7,3,0,14,5,20,4,4,1
8,3.240333333333333,15,4,7,13,6,19,4,15,1
8,0,7,3,0,1,2,27,4,15,1
8,2.672333333333333,2,3,4,14,5,20,3,12,1
8,3.1165555555555553,2,0,2,14,10,16,7,15,1
8,0.575,15,7,7,14,6,27,7,12,1
8,2.473888888888889,13,0,2,14,10,16,0,15,1
8,3.1822222222222227,10,0,2,14,10,16,7,15,1
8,2.906777777777778,1,3,6,14,1,23,4,15,1
8,0.625,9,3,6,14,6,16,7,12,1
8,0,15,7,7,14,6,20,7,0,1
8,0,4,3,1,1,1,27,4,15,1
8,2.7976666666666667,2,0,2,13,10,16,0,15,1
8,0.6000000000000001,2,3,6,14,6,23,7,12,1
8,3.243555555555556,0,3,7,14,6,20,7,15,1
9,2.804111111111111,0,3,7,14,6,20,7,15,1
9,2.878,10,0,2,14,10,16,7,15,1
9,3.001444444444444,5,4,6,14,5,20,3,12,1
9,3.0937777777777775,2,3,6,14,9,16,4,12,1
9,2.3097777777777777,5,4,5,14,6,23,0,15,1
9,0.45000000000000007,11,4,6,14,2,27,7,12,1
9,3.1401111111111106,2,4,4,14,6,28,7,15,1
9,3.1718888888888888,15,4,7,14,10,7,7,15,1
9,3.287777777777778,4,3,0,14,2,20,7,15,1
9,0.39999999999999997,9,4,2,13,5,0,3,15,1
9,0,2,0,6,14,1,20,7,8,1
9,2.786666666666666,4,0,5,14,5,16,0,15,1
9,2.7532222222222225,7,3,7,14,5,20,3,15,1
9,3.0148888888888887,5,3,6,14,6,20,4,15,1
9,3.4481111111111113,5,4,6,14,10,16,7,15,1
9,0,10,0,2,13,9,23,4,4,1
9,2.9743333333333335,1,7,2,14,13,16,4,15,1
9,2.9364444444444446,1,0,6,14,5,20,3,15,1
9,0.475,0,3,7,13,5,0,3,15,1
9,3.1494444444444447,4,0,3,13,5,19,7,15,1
9,3.082777777777778,1,3,5,14,1,16,7,15,1
9,2.2186666666666666,4,3,6,14,14,4,4,12,1
9,0.875,2,3,6,9,5,23,3,15,1
9,3.037666666666667,15,4,7,14,1,20,4,12,1
9,0,7,3,3,14,5,12,3,0,1
9,2.804222222222222,4,3,0,14,14,11,4,15,1
9,0,10,0,2,1,5,16,0,15,1
9,2.8449999999999998,5,0,6,14,5,11,4,15,1
9,0.75,2,4,1,14,9,16,4,11,1
9,0.875,5,4,6,14,10,16,4,11,1
9,1,2,0,2,10,13,16,4,15,1
9,3.0948888888888892,4,3,3,14,5,11,3,15,1
9,3.184,2,0,7,14,1,19,4,15,1
9,3.068777777777777,15,4,2,13,13,16,3,15,1
9,3.466333333333333,15,4,4,13,6,19,4,15,1
9,0,10,0,2,1,13,16,0,15,1
9,0,2,4,5,1,14,16,4,11,1
9,2.225,5,4,1,14,2,4,7,15,1
9,0,2,3,7,1,13,24,7,15,1
9,2.9328888888888893,13,0,2,13,13,15,4,15,1
9,2.6887777777777777,2,3,6,14,5,20,3,12,1
9,3.078777777777778,2,0,1,13,13,16,4,15,1
9,2.7608888888888887,5,4,1,14,2,8,7,15,1
9,2.382,2,3,4,13,9,24,0,15,1
9,3.1818888888888885,2,0,2,13,14,16,4,15,1
9,0.5,2,3,7,9,9,24,7,15,1
9,0,7,3,7,1,5,27,7,15,1
